ID;COUNTRY
1;Afghanistan
2;Åland Islands
3;Albania
4;Algeria
5;American Samoa
6;Andorra
7;Angola
8;Anguilla
9;Antarctica
10;Antigua & Barbuda
11;Argentina
12;Armenia
13;Aruba
14;Ascension Island
15;Australia
16;Austria
17;Azerbaijan
18;Bahamas
19;Bahrain
20;Bangladesh
21;Barbados
22;Belarus
23;Belgium
24;Belize
25;Benin
26;Bermuda
27;Bhutan
28;Bolivia
29;Bosnia & Herzegovina
30;Botswana
31;Brazil
32;British Indian Ocean Territory
33;British Virgin Islands
34;Brunei
35;Bulgaria
36;Burkina Faso
37;Burundi
38;Cambodia
39;Cameroon
40;Canada
41;Canary Islands
42;Cape Verde
43;Caribbean Netherlands
44;Cayman Islands
45;Central African Republic
46;Ceuta & Melilla
47;Chad
48;Chile
49;China
50;Christmas Island
51;Cocos (Keeling) Islands
52;Colombia
53;Comoros
54;Congo - Brazzaville
55;Congo - Kinshasa
56;Cook Islands
57;Costa Rica
58;Côte d’Ivoire
59;Croatia
60;Cuba
61;Curaçao
62;Cyprus
63;Czech Republic
64;Denmark
65;Diego Garcia
66;Djibouti
67;Dominica
68;Dominican Republic
69;Ecuador
70;Egypt
71;El Salvador
72;Equatorial Guinea
73;Eritrea
74;Estonia
75;Ethiopia
76;Falkland Islands
77;Faroe Islands
78;Fiji
79;Finland
80;France
81;French Guiana
82;French Polynesia
83;French Southern Territories
84;Gabon
85;Gambia
86;Georgia
87;Germany
88;Ghana
89;Gibraltar
90;Greece
91;Greenland
92;Grenada
93;Guadeloupe
94;Guam
95;Guatemala
96;Guernsey
97;Guinea
98;Guinea-Bissau
99;Guyana
100;Haiti
101;Honduras
102;Hong Kong SAR China
103;Hungary
104;Iceland
105;India
106;Indonesia
107;Iran
108;Iraq
109;Ireland
110;Isle of Man
111;Israel
112;Italy
113;Jamaica
114;Japan
115;Jersey
116;Jordan
117;Kazakhstan
118;Kenya
119;Kiribati
120;Kosovo
121;Kuwait
122;Kyrgyzstan
123;Laos
124;Latvia
125;Lebanon
126;Lesotho
127;Liberia
128;Libya
129;Liechtenstein
130;Lithuania
131;Luxembourg
132;Macau SAR China
133;Macedonia
134;Madagascar
135;Malawi
136;Malaysia
137;Maldives
138;Mali
139;Malta
140;Marshall Islands
141;Martinique
142;Mauritania
143;Mauritius
144;Mayotte
145;Mexico
146;Micronesia
147;Moldova
148;Monaco
149;Mongolia
150;Montenegro
151;Montserrat
152;Morocco
153;Mozambique
154;Myanmar (Burma)
155;Namibia
156;Nauru
157;Nepal
158;Netherlands
159;New Caledonia
160;New Zealand
161;Nicaragua
162;Niger
163;Nigeria
164;Niue
165;Norfolk Island
166;North Korea
167;Northern Mariana Islands
168;Norway
169;Oman
170;Pakistan
171;Palau
172;Palestinian Territories
173;Panama
174;Papua New Guinea
175;Paraguay
176;Peru
177;Philippines
178;Pitcairn Islands
179;Poland
180;Portugal
181;Puerto Rico
182;Qatar
183;Réunion
184;Romania
185;Russia
186;Rwanda
187;Samoa
188;San Marino
189;São Tomé & Príncipe
190;Saudi Arabia
191;Senegal
192;Serbia
193;Seychelles
194;Sierra Leone
195;Singapore
196;Sint Maarten
197;Slovakia
198;Slovenia
199;Solomon Islands
200;Somalia
201;South Africa
202;South Georgia & South Sandwich Islands
203;South Korea
204;South Sudan
205;Spain
206;Sri Lanka
207;St. Barthélemy
208;St. Helena
209;St. Kitts & Nevis
210;St. Lucia
211;St. Martin
212;St. Pierre & Miquelon
213;St. Vincent & Grenadines
214;Sudan
215;Suriname
216;Svalbard & Jan Mayen
217;Swaziland
218;Sweden
219;Switzerland
220;Syria
221;Taiwan
222;Tajikistan
223;Tanzania
224;Thailand
225;Timor-Leste
226;Togo
227;Tokelau
228;Tonga
229;Trinidad & Tobago
230;Tristan da Cunha
231;Tunisia
232;Turkey
233;Turkmenistan
234;Turks & Caicos Islands
235;Tuvalu
236;U.S. Outlying Islands
237;U.S. Virgin Islands
238;Uganda
239;Ukraine
240;United Arab Emirates
241;United Kingdom
242;United States
243;Uruguay
244;Uzbekistan
245;Vanuatu
246;Vatican City
247;Venezuela
248;Vietnam
249;Wallis & Futuna
250;Western Sahara
251;Yemen
252;Zambia
253;Zimbabwe
